date,open,high,low,close,volume,Indicator[mal],Indicator[edgeMain],Indicator[mam],Indicator[mas],Indicator[mas_div]*,Indicator[edgeHalf],Indicator[upper_div]*,TradeRecordTable[deadTrade]_long,TradeRecordTable[deadTrade]_short,TradeRecordTable[deadTrade]_release,TradeRecordTable[goldenTrade]_long,TradeRecordTable[goldenTrade]_short,TradeRecordTable[goldenTrade]_release,blank
2007-05-08T08:14:00Z,1.3564,1.3564,1.3562,1.3562,0.0,1.360370749999998,nan,1.359513499999998,1.356726666666666,-2.07592592592645e-005,nan,7.500000000004725e-005,,,,,,,
2007-05-08T08:15:00Z,1.3561,1.3562,1.356,1.3561,0.0,1.360366999999998,nan,1.359507499999998,1.356720555555555,-2.066049382716755e-005,nan,-2.220446049250313e-016,,,,,,,
2007-05-08T08:16:00Z,1.356,1.3561,1.356,1.356,0.0,1.360363166666664,nan,1.359500999999998,1.356712777777777,-2.055864197531503e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T08:17:00Z,1.3561,1.3561,1.3559,1.3559,0.0,1.360359249999998,nan,1.359494166666664,1.356705,-2.045679012346375e-005,nan,-0.0001249999999999307,,,,,,,
2007-05-08T08:18:00Z,1.356,1.356,1.3559,1.3559,0.0,1.360355166666664,nan,1.359487333333331,1.356696666666666,-2.037345679012863e-005,nan,-0.0001249999999999307,,,,,,,
2007-05-08T08:19:00Z,1.356,1.3561,1.3559,1.3559,0.0,1.360351166666664,nan,1.359480666666665,1.356687777777778,-2.028703703704288e-005,nan,-7.50000000002693e-005,,,,,,,
2007-05-08T08:20:00Z,1.356,1.356,1.3558,1.3558,0.0,1.360347166666664,nan,1.359473999999998,1.356678888888889,-2.02006172839559e-005,nan,-9.999999999976694e-005,,,,,,,
2007-05-08T08:21:00Z,1.3557,1.3558,1.3557,1.3557,0.0,1.360343083333331,nan,1.359467166666665,1.356669444444444,-2.012345679012823e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T08:22:00Z,1.3558,1.3559,1.3558,1.3558,0.0,1.360338833333331,nan,1.359459999999998,1.356659444444444,-2.004320987654746e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T08:23:00Z,1.3559,1.3559,1.3558,1.3559,0.0,1.360334666666665,nan,1.359452999999998,1.356648888888888,-1.996296296296792e-005,nan,-7.50000000002693e-005,,,,,,,
2007-05-08T08:24:00Z,1.356,1.356,1.3559,1.356,0.0,1.360330666666665,nan,1.359445999999998,1.356638333333333,-1.988888888889336e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T08:25:00Z,1.3561,1.3561,1.356,1.356,0.0,1.360326749999998,nan,1.359438999999998,1.356627777777777,-1.982407407408059e-005,nan,-4.999999999988347e-005,,,,,,,
2007-05-08T08:26:00Z,1.3559,1.356,1.3558,1.356,0.0,1.360322749999998,nan,1.359431999999998,1.356617222222222,-1.975925925926535e-005,nan,0.0,,,,,,,
2007-05-08T08:27:00Z,1.3559,1.3559,1.3558,1.3558,0.0,1.360318666666665,nan,1.359425166666665,1.356606666666666,-1.969753086420198e-005,nan,7.499999999982521e-005,,,,,,,
2007-05-08T08:28:00Z,1.3559,1.3562,1.3559,1.3561,0.0,1.360314416666665,nan,1.359417833333332,1.356595555555555,-1.963271604938798e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T08:29:00Z,1.356,1.3561,1.3559,1.3561,0.0,1.360310499999998,nan,1.359411166666665,1.356585555555555,-1.957098765432708e-005,nan,2.220446049250313e-016,,,,,,,
2007-05-08T08:30:00Z,1.3562,1.3562,1.3562,1.3562,0.0,1.360306583333332,nan,1.359404499999998,1.35657611111111,-1.950617283951184e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T08:31:00Z,1.3563,1.3564,1.3563,1.3563,0.0,1.360302749999998,nan,1.359397833333332,1.356566666666666,-1.943518518519285e-005,nan,0.0,,,,,,,
2007-05-08T08:32:00Z,1.3564,1.3565,1.3564,1.3564,0.0,1.360298916666665,nan,1.359391666666665,1.356557777777777,-1.936419753087017e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T08:33:00Z,1.3563,1.3564,1.3562,1.3562,0.0,1.360295166666665,nan,1.359385666666665,1.356549444444444,-1.929012345679684e-005,nan,0.0001249999999997087,,,,,,,
2007-05-08T08:34:00Z,1.3561,1.3562,1.3561,1.3561,0.0,1.360291249999998,nan,1.359379333333332,1.356540555555555,-1.920987654321607e-005,nan,7.500000000004725e-005,,,,,,,
2007-05-08T08:35:00Z,1.356,1.356,1.3558,1.3558,0.0,1.360287166666665,nan,1.359372833333332,1.356531111111111,-1.912962962963529e-005,nan,7.500000000004725e-005,,,,,,,
2007-05-08T08:36:00Z,1.3559,1.356,1.3556,1.3558,0.0,1.360282916666664,nan,1.359365833333332,1.356519999999999,-1.904938271605452e-005,nan,0.0,,,,,,,
2007-05-08T08:37:00Z,1.3557,1.3559,1.3556,1.3559,0.0,1.360278583333331,nan,1.359358833333332,1.356509444444444,-1.897222222222686e-005,nan,-9.999999999998899e-005,,,,,,,
2007-05-08T08:38:00Z,1.356,1.3561,1.356,1.356,0.0,1.360274333333331,nan,1.359351833333332,1.356498888888888,-1.890740740741285e-005,nan,-0.0001250000000001528,,,,,,,
2007-05-08T08:39:00Z,1.3561,1.3561,1.356,1.356,0.0,1.360270249999998,nan,1.359344666666665,1.356489444444444,-1.88395061728445e-005,nan,-0.0001249999999999307,,,,,,,
2007-05-08T08:40:00Z,1.3559,1.356,1.3559,1.356,0.0,1.360266083333331,nan,1.359337499999999,1.356479999999999,-1.877160493827739e-005,nan,-2.500000000016378e-005,,,,,,,
2007-05-08T08:41:00Z,1.3561,1.3561,1.3559,1.356,0.0,1.360261916666664,nan,1.359330499999998,1.356470555555555,-1.869444444444849e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T08:42:00Z,1.3559,1.3559,1.3558,1.3559,0.0,1.360257749999998,nan,1.359323499999999,1.356461111111111,-1.861728395062206e-005,nan,2.220446049250313e-016,,,,,,,
2007-05-08T08:43:00Z,1.3558,1.3558,1.3558,1.3558,0.0,1.360253499999998,nan,1.359316166666665,1.356451666666666,-1.854320987654873e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T08:44:00Z,1.3559,1.3559,1.3557,1.3558,0.0,1.360249166666664,nan,1.359308666666665,1.356443333333333,-1.846604938271983e-005,nan,-4.999999999988347e-005,,,,,,,
2007-05-08T08:45:00Z,1.3557,1.3558,1.3557,1.3558,0.0,1.360244916666665,nan,1.359301166666665,1.356434444444444,-1.839197530864528e-005,nan,-7.50000000002693e-005,,,,,,,
2007-05-08T08:46:00Z,1.3557,1.3558,1.3557,1.3557,0.0,1.360240583333331,nan,1.359293666666665,1.356424999999999,-1.830246913580642e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T08:47:00Z,1.3558,1.3559,1.3557,1.3559,0.0,1.360236249999998,nan,1.359285833333332,1.356414999999999,-1.822222222222688e-005,nan,-7.499999999982521e-005,,,,,,,
2007-05-08T08:48:00Z,1.3558,1.3558,1.3557,1.3557,0.0,1.360231999999998,nan,1.359278333333332,1.356406111111111,-1.814506172840044e-005,nan,-2.500000000038583e-005,,,,,,,
2007-05-08T08:49:00Z,1.3558,1.3558,1.3552,1.3552,0.0,1.360227499999998,nan,1.359270499999999,1.356396111111111,-1.806790123457154e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T08:50:00Z,1.3551,1.3554,1.3551,1.3554,0.0,1.360222416666665,nan,1.359261999999999,1.356383333333333,-1.798765432099077e-005,nan,-2.500000000016378e-005,,,,,,,
2007-05-08T08:51:00Z,1.3555,1.3555,1.3554,1.3555,0.0,1.360217249999998,nan,1.359254333333332,1.356371666666666,-1.791666666666932e-005,nan,0.0,,,,,,,
2007-05-08T08:52:00Z,1.3554,1.3555,1.3554,1.3555,0.0,1.360212249999998,nan,1.359246833333332,1.356361111111111,-1.785493827160842e-005,nan,-9.999999999976694e-005,,,,,,,
2007-05-08T08:53:00Z,1.3554,1.3557,1.3554,1.3557,0.0,1.360207333333331,nan,1.359239499999999,1.356350555555555,-1.778395061728697e-005,nan,-9.999999999998899e-005,,,,,,,
2007-05-08T08:54:00Z,1.3556,1.3556,1.3555,1.3556,0.0,1.360202499999998,nan,1.359232499999999,1.356340555555555,-1.770370370370619e-005,nan,-7.500000000004725e-005,,,,,,,
2007-05-08T08:55:00Z,1.3555,1.3556,1.3555,1.3555,0.0,1.360197333333331,nan,1.359225166666666,1.35633,-1.762962962963164e-005,nan,-2.500000000016378e-005,,,,,,,
2007-05-08T08:56:00Z,1.3556,1.3556,1.3555,1.3556,0.0,1.360192333333331,nan,1.359217833333333,1.356317777777778,-1.754629629629899e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T08:57:00Z,1.3557,1.3557,1.3556,1.3557,0.0,1.360187333333331,nan,1.359210833333332,1.356306111111111,-1.746913580247009e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T08:58:00Z,1.3558,1.3558,1.3557,1.3557,0.0,1.360182416666665,nan,1.359203833333332,1.356293888888889,-1.741049382716106e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T08:59:00Z,1.3556,1.3557,1.3556,1.3557,0.0,1.360177583333331,nan,1.359196999999999,1.356281111111111,-1.73487654320977e-005,nan,0.0,,,,,,,
2007-05-08T09:00:00Z,1.3556,1.3557,1.3556,1.3557,0.0,1.360172666666665,nan,1.359190333333332,1.356268888888889,-1.729320987654178e-005,nan,4.999999999988347e-005,,,,,,,
2007-05-08T09:01:00Z,1.3558,1.3558,1.3558,1.3558,0.0,1.360167666666665,nan,1.359183499999999,1.356256111111111,-1.724382716049207e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T09:02:00Z,1.3559,1.3559,1.3558,1.3559,0.0,1.360162833333332,nan,1.359176833333332,1.356244444444444,-1.718518518518181e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T09:03:00Z,1.3558,1.3559,1.3558,1.3559,0.0,1.360157999999998,nan,1.359170166666666,1.356233888888889,-1.712654320987279e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T09:04:00Z,1.356,1.356,1.3559,1.3559,0.0,1.360153249999998,nan,1.359163333333332,1.356222777777778,-1.706172839505878e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T09:05:00Z,1.356,1.356,1.3559,1.356,0.0,1.360148583333332,nan,1.359156333333333,1.356211666666667,-1.699074074073733e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T09:07:00Z,1.3559,1.356,1.3558,1.356,0.0,1.360143916666665,nan,1.359149666666666,1.356201666666666,-1.692901234567643e-005,nan,7.500000000004725e-005,,,,,,,
2007-05-08T09:08:00Z,1.3559,1.356,1.3559,1.356,0.0,1.360139249999999,nan,1.359143166666666,1.356191666666666,-1.686419753086119e-005,nan,4.999999999988347e-005,,,,,,,
